year,Italy,Portugal,Spain,France,Greece,Austria,Bulgaria,Croatia,Cyprus,Czechia,Estonia,Finland,Germany,Hungary,Latvia,Lithuania,Morocco,Norway,Poland,Romania,Slovakia,Slovenia,Sweden,Switzerland,Türkiye
2003,91805,471750,148172,73278,3517,122,5000,27091,2349,1236,207,666,1315,845,559.0,436,2858.0,942,21551.0,762.0,1567,2100,4002,673.0,6644.0
2004,60176,151370,134193,13711,10267,19,1137,3378,1218,335,379,358,274,247,486.0,253,8660.0,117,3782.0,124.0,157,138,1883,31.0,4876.0
2005,47575,346718,188697,22135,6437,13,1456,3135,1838,227,85,495,183,3531,120.0,51,6198.0,346,5713.0,162.0,524,280,1562,67.0,2821.0
2006,39946,83706,155345,7972,12661,54,3540,4575,1160,53,2638,1617,482,625,3387.0,1199,5360.0,3829,5657.0,946.0,280,1420,5710,127.0,7762.0
2007,227729,36413,86122,8574,225734,54,42999,20209,4483,316,292,576,256,4636,272.0,38,1367.0,128,2841.0,2529.0,679,128,1090,337.0,11664.0
2008,66329,19897,50322,6046,29152,20,5289,7343,2392,86,1279,830,539,2404,364.0,112,1127.0,3174,3027.0,373.0,118,75,6113,68.0,29749.0
2009,73355,92126,120094,17033,35342,58,2271,2900,885,178,59,576,262,6463,646.0,287,3108.0,1329,4400.0,974.0,510,177,1537,60.0,4679.0
2010,46537,140953,54770,10538,8967,36,6526,1121,2000,205,25,520,522,878,92.0,22,5511.0,769,2126.0,206.0,192,121,540,27.0,3517.0
2011,72004,77104,102161,11751,29144,67,6883,15555,1599,337,19,580,214,8055,115.0,293,3460.0,121,2678.0,2195.0,403,288,945,225.0,3612.0
2012,130814,117985,226125,8318,59924,48,12730,24804,2531,634,3,87,269,14115,90.0,20,6695.0,60,7235.0,6624.0,1683,1006,483,30.0,10455.0
2013,29076,160388,58985,3608,46676,102,3314,1999,2835,92,79,461,199,1955,217.0,25,2207.0,47,1289.0,421.0,270,66,1508,29.0,11456.0
2014,36125,22820,46721,7698,25846,92,916,188,669,536,77,881,120,4454,591.0,162,1540.0,770,2690.0,217.0,192,18,14666,46.0,3117.0
2015,41511,67200,103200,11546,7096,114,4313,9416,652,344,83,143,526,4730,615.0,71,992.0,143,5510.0,1671.0,353,65,594,47.0,3219.0
2016,65503,167808,65817,16395,26540,23,6340,7100,3205,141,123,310,283,974,467.0,26,2585.0,1884,1451.0,675.0,175,526,1288,454.0,9156.0
2017,161987,539921,178234,26641,13393,25,4569,48543,428,170,33,460,395,4933,265.0,53,2414.0,525,1023.0,2459.0,295,441,1433,118.0,11992.0
2018,19481,44578,25162,5193,15464,19,1453,1506,1136,492,430,1228,2349,906,2864.0,110,841.0,3279,2696.0,1341.0,248,20,24310,69.0,5644.0
2019,36034,42085,83963,24133,9153,20,5620,2180,733,520,69,565,2711,6541,805.0,200,3232.0,3077,3572.0,2496.0,462,154,1233,31.0,11332.0
2020,55656,67170,65923,18451,9300,60,5258,23994,1305,484,191,719,368,2895,309.0,64,5569.0,363,8417.0,5152.0,477,118,821,26.0,20971.0
2021,151964,28360,87880,15114,108418,117,3143,6660,6612,411,33,785,148,2413,504.0,11,3064.0,653,894.0,2101.0,159,124,731,35.0,139503.0
