Year,Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli-Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Umbria,Veneto
2003,615.0,1649.0,9049.0,6476.0,569.0,2041.0,9063.0,7744.0,1459.0,296.0,270.0,4847.0,3808.0,17048.0,18599.0,6768.0,631.0,367.0
2004,608.0,1151.0,9816.0,3477.0,70.0,30.0,3384.0,1268.0,749.0,94.0,150.0,1058.0,1766.0,14484.0,20638.0,1230.0,128.0,5.0
2005,311.0,1195.0,6922.0,3158.0,163.0,43.0,3267.0,4192.0,982.0,33.0,314.0,1948.0,1840.0,13400.0,8677.0,896.0,215.0,37.0
2006,258.0,1067.0,5282.0,2755.0,155.0,437.0,2101.0,1547.0,820.0,81.0,480.0,1194.0,3332.0,8330.0,13735.0,607.0,84.0,71.0
2007,21168.0,8200.0,43126.0,19216.0,1002.0,170.0,13567.0,5056.0,1512.0,4748.0,3990.0,3712.0,24661.0,34295.0,46611.0,1330.0,1007.0,91.0
2008,616.0,5257.0,18009.0,3956.0,157.0,68.0,2750.0,824.0,1141.0,69.0,813.0,905.0,8489.0,4127.0,17774.0,989.0,341.0,27.0
2009,159.0,1041.0,7201.0,6202.0,171.0,354.0,2528.0,2644.0,396.0,63.0,186.0,373.0,4358.0,37104.0,8616.0,1838.0,55.0,54.0
2010,379.0,2119.0,5208.0,2351.0,21.0,37.0,3149.0,169.0,318.0,46.0,377.0,231.0,5020.0,6582.0,20258.0,142.0,110.0,12.0
2011,1216.0,3057.0,14437.0,8126.0,182.0,372.0,6877.0,1517.0,1312.0,449.0,748.0,895.0,7172.0,10228.0,13385.0,1026.0,306.0,325.0
2012,1530.0,6123.0,22578.0,8099.0,506.0,801.0,8056.0,1310.0,1336.0,272.0,932.0,1381.0,8261.0,8511.0,55583.0,2830.0,2454.0,150.0
2013,313.0,937.0,2809.0,1064.0,26.0,1437.0,1401.0,262.0,493.0,23.0,368.0,704.0,3318.0,10588.0,5089.0,145.0,44.0,8.0
2014,50.0,518.0,3537.0,1028.0,36.0,18.0,1139.0,223.0,456.0,62.0,145.0,166.0,1171.0,6919.0,20555.0,79.0,3.0,11.0
2015,1084.0,1568.0,6581.0,5853.0,158.0,91.0,5948.0,1057.0,2474.0,39.0,860.0,2882.0,3109.0,2573.0,6547.0,437.0,137.0,71.0
2016,191.0,816.0,7933.0,2908.0,44.0,48.0,2974.0,1107.0,791.0,2.0,147.0,686.0,3132.0,9415.0,16102.0,1584.0,10.0,13.0
2017,8215.0,6305.0,32060.0,20485.0,534.0,103.0,19318.0,4558.0,4292.0,454.0,1559.0,10952.0,6611.0,7842.0,34221.0,3413.0,931.0,46.0
2018,202.0,307.0,2695.0,548.0,4.0,20.0,576.0,99.0,252.0,17.0,15.0,399.0,639.0,2123.0,10674.0,257.0,22.0,630.0
2019,403.0,1652.0,5295.0,3013.0,69.0,117.0,2099.0,725.0,1260.0,91.0,196.0,1966.0,2703.0,3632.0,10784.0,1818.0,146.0,31.0
2020,1705.0,1283.0,4565.0,5109.0,64.0,70.0,3883.0,117.0,1332.0,71.0,1029.0,727.0,3592.0,7985.0,23447.0,360.0,199.0,112.0
2021,3062.0,3849.0,28482.0,7001.0,205.0,103.0,7541.0,711.0,248.0,367.0,2561.0,973.0,9780.0,25806.0,59872.0,895.0,463.0,29.0
