Year,Piemonte,Valle d'Aosta,Lombardia,Trentino-Alto Adige,Veneto,Friuli Venezia Giulia,Liguria,Emilia-Romagna,Toscana,Umbria,Marche,Lazio,Abruzzo,Molise,Campania,Puglia,Basilicata,Calabria,Sicilia,Sardegna,ITALY
2007,3711.603099999999,9.459999999999999,1608.0,159.0,100.0,164.0,5056.0,1002.0,1330.0,1410.0,4748.0,13566.97,21167.0,3990.0,19215.68,24661.0,8199.779999999999,43126.0,46610.9,34295.0,234130.3931
2008,904.0,14.0,1142.0,3.0,28.0,67.0,824.0,156.0,989.0,341.0,69.0,2749.0,616.0,813.0,3956.0,8490.0,5257.0,18009.0,20223.0,4127.0,68777.0
2009,373.0,7.0,396.0,5.0,54.0,354.0,2644.0,171.0,1838.0,55.0,63.0,2528.0,159.0,186.0,6202.0,4358.0,1041.0,7201.0,8198.0,37104.0,72937.0
2010,231.0,3.0,318.0,5.0,12.0,37.0,169.0,21.0,142.0,110.0,46.0,3149.0,379.0,377.0,2351.0,5020.0,2119.0,5208.0,16385.0,6582.0,42664.0
2011,895.0,62.0,1312.0,15.0,625.0,372.0,1517.0,182.0,1026.0,306.0,449.0,6877.0,1216.0,748.0,8126.0,7172.0,3058.0,14436.0,10090.0,10228.0,68712.0
2012,1381.0,59.0,1336.0,49.0,150.0,801.0,1310.0,506.0,2830.0,2454.0,272.0,8056.0,1530.0,932.0,8099.0,8261.0,6123.0,22578.0,55593.0,8511.0,130831.0
2013,704.0,7.0,493.0,43.0,8.0,1437.0,262.0,26.0,145.0,44.0,23.0,1401.0,313.0,368.0,1064.0,3318.0,937.0,2809.0,5089.0,10588.0,29079.0
2014,166.0,9.0,456.0,2.0,11.0,18.0,223.0,36.0,79.0,3.0,62.0,1139.0,50.0,145.0,1028.0,1171.0,518.0,3537.0,20555.0,6919.0,36127.0
2015,2882.0,19.0,2474.0,28.0,71.0,91.0,1057.0,158.0,437.0,137.0,39.0,5948.0,1084.0,860.0,5853.0,3109.0,1568.0,6581.0,6547.0,2573.0,41516.0
2016,687.0,19.0,791.0,9.0,13.0,48.0,1107.0,44.0,1584.0,10.0,2.0,2975.0,191.0,147.0,2908.0,3132.0,816.0,7933.0,27728.0,9415.0,59559.0
2017,10951.0,29.0,4292.0,59.0,46.0,103.0,4558.0,534.0,3413.0,931.0,454.0,19318.0,8215.0,1559.0,20485.0,6611.0,6305.0,32060.0,38363.0,7843.0,166129.0
2018,399.0,2.2,251.8,0.9,630.0,20.0,98.5,3.4,257.29999999999995,21.700000000000003,17.2,576.3,202.0,14.8,547.8,638.6,306.9,2694.5,9127.9,2123.4,17934.2
2019,1965.6000000000001,5.6,1259.9,29.9,30.6,116.9,724.5999999999999,69.3,1817.8,146.39999999999998,90.8,2099.1,402.8,195.8,3013.1000000000004,2703.0,1652.1999999999998,5295.1,13276.0,3631.8,38526.3
2020,726.8,2.7,1331.7,5.699999999999999,112.0,69.4,117.0,63.8,360.4,199.10000000000002,70.69999999999999,3882.6,1705.1999999999998,1029.2,5109.1,3591.5,1282.9,4564.8,23447.0,7985.0,55656.600000000006
2021,973.0,5.0,247.7,13.2,29.1,103.0,711.4,205.2,894.7,463.3,366.6,7540.799999999999,3061.6,2560.5,7000.6,9780.0,3849.2999999999997,28481.7,59872.0,25805.7,151964.4
2022,2628.0,89.5,1712.4,184.7,1098.1,1346.7,1189.42,545.5,3836.0,1337.8,73.4,6516.8,286.9,334.9,3682.6000000000004,4460.1,1771.5,6490.3,24561.1,9541.5,71687.22
