Year,Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli-Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Provincia Autonoma di Trento,Umbria,Valle d'Aosta,Veneto
2003,267,633,3193,3777,185,1441,5516,5069,688,205,80,2864,1559,8080,5246,4130,83,425,309,311
2004,232,370,3677,1617,25,15,2150,1024,448,52,50,493,649,5052,4076,815,29,73,15,4
2005,156,711,2689,1177,80,13,2498,3380,448,22,101,1192,931,3176,3815,525,36,215,275,6
2006,158,562,2834,1015,86,224,1024,1148,253,71,56,834,992,1903,4682,390,1,84,64,37
2007,10271,3617,24806,18699,409,97,8690,2485,666,3966,1249,2139,9954,12213,15328,809,0,1007,4,67
2008,291,2327,10236,2936,85,13,1701,411,597,28,319,698,4212,1767,4041,452,1,137,6,15
2009,104,651,4114,4881,69,198,1802,1489,268,38,75,286,1527,12270,1801,1407,4,44,2,30
2010,160,481,2439,1800,16,12,2460,162,151,41,87,132,2066,1934,7242,82,2,80,2,8
2011,440,1513,8174,5738,68,230,5597,1301,531,372,315,33,3327,3718,5227,680,12,217,33,390
2012,672,2921,16750,6531,258,686,5597,1188,461,172,412,560,4472,3057,27326,1681,45,1687,6,88
2013,91,391,1714,751,10,1166,1177,242,100,17,91,355,1579,3548,2083,90,11,24,2,3
2014,31,271,2400,835,10,11,953,124,147,30,18,57,635,2670,9079,33,2,1,3,10
2015,501,1017,4901,3824,121,26,3240,929,689,31,480,1025,1332,781,2203,158,26,91,5,86
2016,110,317,5476,2282,28,41,2007,1013,212,2,41,369,1356,2396,5252,547,9,3,16,8
2017,5890,4072,26656,17694,418,43,15601,3135,2288,388,864,8764,4035,5237,15785,2065,53,647,11,15
2018,81,114,2059,499,3,14,328,95,168,11,11,302,322,56,3915,174,1,12,1,629
2019,128,620,3434,2393,44,18,1703,560,806,60,67,3857,810,1920,4782,1567,25,112,4,27
2020,1299,816,3666,4499,50,17,3130,90,1195,33,268,440,1472,2043,11627,209,4,143,1,57
2021,1158,1556,24796,5373,104,60,6430,656,222,111,499,752,3553,6203,24947,361,5,248,4,14
