year,Italy,Portugal,Spain,France,Greece,Austria,Bulgaria,Croatia,Cyprus,Czechia,Estonia,Finland,Germany,Hungary,Latvia,Lithuania,Morocco,Norway,Poland,Romania,Slovakia,Slovenia,Sweden,Switzerland,Türkiye
2003,9697,28087,18616,7023,1452,238.0,452.0,532.0,427.0,1754.0,111.0,1734.0,2524.0,375.0,900.0,885.0,392.0,198.0,17087.0,203.0,872.0,224.0,8282.0,304.0,2177.0
2004,6428,27829,21396,3775,1748,72.0,294.0,204.0,221.0,873.0,89.0,816.0,626.0,104.0,647.0,468.0,714.0,119.0,7006.0,34.0,153.0,51.0,4955.0,94.0,1762.0
2005,7951,41689,25492,4698,1544,85.0,241.0,147.0,185.0,619.0,65.0,1069.0,496.0,150.0,365.0,301.0,662.0,122.0,12049.0,64.0,287.0,73.0,4573.0,110.0,1530.0
2006,5634,24243,16354,4615,1417,133.0,393.0,181.0,172.0,697.0,248.0,3046.0,930.0,97.0,1929.0,1545.0,381.0,205.0,11541.0,105.0,237.0,112.0,4618.0,110.0,2227.0
2007,10639,25133,10936,3383,1983,256.0,1479.0,345.0,111.0,805.0,64.0,1204.0,779.0,603.0,425.0,251.0,340.0,65.0,8302.0,478.0,463.0,140.0,3737.0,120.0,2829.0
2008,6486,18958,11655,2818,1481,185.0,582.0,275.0,114.0,470.0,71.0,1456.0,818.0,502.0,700.0,301.0,273.0,171.0,9090.0,91.0,182.0,74.0,5420.0,63.0,2135.0
2009,5422,29783,15643,4888,1063,138.0,314.0,181.0,91.0,514.0,47.0,1242.0,763.0,608.0,823.0,471.0,501.0,109.0,9162.0,190.0,347.0,120.0,4180.0,103.0,1793.0
2010,4884,26113,11721,3861,1052,144.0,222.0,131.0,133.0,732.0,30.0,1412.0,780.0,109.0,316.0,104.0,629.0,62.0,4680.0,70.0,127.0,32.0,3120.0,88.0,1861.0
2011,8181,29782,16414,4290,1613,267.0,635.0,280.0,85.0,1337.0,24.0,1215.0,888.0,2021.0,360.0,142.0,606.0,49.0,8172.0,340.0,303.0,114.0,3534.0,114.0,1954.0
2012,8252,25352,17503,3928,1559,259.0,876.0,569.0,78.0,1549.0,5.0,417.0,701.0,2657.0,162.0,81.0,484.0,24.0,9265.0,911.0,513.0,168.0,2213.0,75.0,2450.0
2013,2936,23129,10626,2223,862,199.0,408.0,137.0,135.0,666.0,15.0,1452.0,515.0,761.0,422.0,123.0,411.0,42.0,4883.0,116.0,233.0,75.0,4878.0,58.0,3755.0
2014,3257,9388,9771,2799,552,146.0,151.0,43.0,68.0,865.0,91.0,1660.0,429.0,1042.0,698.0,155.0,460.0,133.0,5245.0,83.0,153.0,35.0,4374.0,60.0,2149.0
2015,5442,19643,11928,4439,510,280.0,429.0,177.0,87.0,1748.0,67.0,745.0,1071.0,1069.0,704.0,247.0,425.0,29.0,12257.0,250.0,242.0,93.0,2700.0,166.0,2150.0
2016,5818,16104,8817,4406,777,141.0,584.0,151.0,119.0,892.0,84.0,933.0,608.0,452.0,641.0,98.0,422.0,345.0,5286.0,174.0,136.0,90.0,5454.0,82.0,3188.0
2017,7855,21006,13793,4429,1083,278.0,513.0,329.0,92.0,966.0,61.0,881.0,424.0,1454.0,423.0,80.0,433.0,264.0,3592.0,447.0,162.0,108.0,5276.0,110.0,2411.0
2018,3220,12274,7143,3027,793,174.0,222.0,54.0,131.0,2033.0,230.0,2427.0,1708.0,530.0,972.0,211.0,343.0,887.0,8867.0,158.0,262.0,32.0,8181.0,153.0,2167.0
2019,4351,10832,10883,5728,657,244.0,668.0,123.0,99.0,1963.0,143.0,1458.0,1523.0,2088.0,1107.0,279.0,529.0,261.0,9635.0,425.0,210.0,84.0,5483.0,79.0,2688.0
2020,4865,9619,7745,7961,1060,234.0,499.0,142.0,108.0,2081.0,24.0,1260.0,1360.0,1239.0,581.0,157.0,514.0,609.0,6627.0,627.0,221.0,120.0,5305.0,78.0,3399.0
2021,5989,8186,8780,4739,1250,164.0,349.0,116.0,111.0,1517.0,32.0,1231.0,548.0,1154.0,448.0,46.0,435.0,653.0,3295.0,278.0,101.0,73.0,4087.0,85.0,2793.0
