Year,Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli-Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Umbria,Veneto
2003,91.0,268.0,1456.0,1489.0,179.0,272.0,677.0,851.0,385.0,101.0,111.0,431.0,388.0,959.0,618.0,1035.0,145.0,97.0
2004,58.0,218.0,1289.0,894.0,48.0,35.0,331.0,345.0,184.0,37.0,84.0,167.0,214.0,892.0,1163.0,327.0,65.0,12.0
2005,36.0,196.0,818.0,2383.0,60.0,74.0,415.0,361.0,245.0,24.0,275.0,290.0,230.0,3044.0,690.0,401.0,66.0,46.0
2006,35.0,153.0,734.0,1861.0,65.0,123.0,292.0,382.0,155.0,28.0,319.0,286.0,310.0,2377.0,935.0,491.0,71.0,39.0
2007,280.0,425.0,1880.0,5855.0,163.0,92.0,778.0,537.0,230.0,100.0,821.0,398.0,605.0,3295.0,1255.0,580.0,162.0,59.0
2008,95.0,307.0,1279.0,799.0,128.0,66.0,347.0,291.0,153.0,36.0,166.0,157.0,486.0,723.0,797.0,456.0,116.0,48.0
2009,34.0,142.0,716.0,903.0,86.0,73.0,325.0,332.0,138.0,19.0,49.0,117.0,277.0,684.0,762.0,549.0,56.0,99.0
2010,64.0,150.0,652.0,543.0,19.0,53.0,354.0,113.0,82.0,9.0,74.0,66.0,473.0,797.0,1159.0,165.0,40.0,25.0
2011,136.0,295.0,1238.0,1435.0,120.0,98.0,609.0,293.0,227.0,84.0,129.0,209.0,580.0,820.0,1011.0,646.0,123.0,69.0
2012,154.0,343.0,1069.0,1186.0,167.0,181.0,715.0,354.0,262.0,70.0,142.0,166.0,557.0,448.0,1271.0,756.0,186.0,164.0
2013,41.0,126.0,292.0,319.0,34.0,51.0,198.0,139.0,92.0,14.0,63.0,147.0,357.0,302.0,458.0,209.0,21.0,31.0
2014,21.0,68.0,492.0,307.0,26.0,12.0,211.0,97.0,93.0,4.0,32.0,109.0,217.0,479.0,938.0,113.0,7.0,15.0
2015,84.0,146.0,864.0,994.0,51.0,76.0,456.0,226.0,225.0,26.0,70.0,180.0,420.0,248.0,830.0,328.0,58.0,57.0
2016,42.0,69.0,1140.0,688.0,43.0,50.0,326.0,217.0,136.0,3.0,30.0,151.0,329.0,225.0,841.0,421.0,17.0,29.0
2017,138.0,288.0,1488.0,1199.0,136.0,99.0,548.0,338.0,220.0,45.0,99.0,266.0,454.0,408.0,1113.0,769.0,98.0,57.0
2018,21.0,57.0,274.0,115.0,12.0,35.0,62.0,93.0,85.0,14.0,8.0,60.0,160.0,1339.0,522.0,279.0,34.0,8.0
2019,48.0,185.0,669.0,513.0,53.0,71.0,234.0,156.0,187.0,53.0,27.0,154.0,355.0,347.0,819.0,324.0,64.0,26.0
2020,62.0,184.0,593.0,704.0,82.0,66.0,303.0,106.0,143.0,30.0,67.0,134.0,395.0,1008.0,575.0,242.0,51.0,45.0
2021,90.0,238.0,739.0,559.0,162.0,40.0,341.0,171.0,168.0,84.0,101.0,139.0,476.0,1108.0,978.0,405.0,95.0,50.0
