Year,Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli-Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Umbria,Veneto
2003,0.61,0.62,0.6,0.76,0.76,0.88,0.82,0.67,0.48,0.61,0.54,0.36,0.7,0.95,0.67,0.97,0.82,0.87
2004,0.66,0.63,0.68,0.71,0.43,0.24,0.76,0.57,0.12,0.61,0.62,0.15,0.57,0.78,0.72,0.75,0.7,0.23
2005,0.39,0.54,0.61,0.49,0.36,0.28,0.55,0.45,0.3,0.34,0.41,0.26,0.67,0.82,0.76,0.52,0.47,0.54
2006,0.48,0.52,0.62,0.46,0.36,0.4,0.53,0.34,0.17,0.44,0.44,0.2,0.5,0.87,0.73,0.63,0.56,0.22
2007,0.85,0.96,0.97,0.92,0.65,0.35,0.81,0.57,0.51,0.75,0.96,0.37,0.81,0.8,0.93,0.72,0.72,0.37
2008,0.69,0.8,0.82,0.78,0.46,0.19,0.75,0.35,0.24,0.74,0.74,0.29,0.81,0.7,0.86,0.73,0.76,0.32
2009,0.46,0.61,0.69,0.64,0.51,0.37,0.6,0.45,0.24,0.44,0.49,0.22,0.61,0.81,0.74,0.76,0.58,0.46
2010,0.42,0.53,0.56,0.48,0.28,0.26,0.55,0.22,0.12,0.34,0.49,0.06,0.63,0.61,0.71,0.47,0.44,0.16
2011,0.68,0.73,0.9,0.75,0.49,0.36,0.68,0.58,0.35,0.71,0.68,0.36,0.69,0.75,0.86,0.72,0.64,0.48
2012,0.76,0.82,0.95,0.72,0.94,0.67,0.68,0.6,0.46,0.68,0.74,0.37,0.97,0.84,0.83,0.78,0.78,0.62
2013,0.58,0.7,0.68,0.53,0.4,0.54,0.54,0.38,0.06,0.5,0.58,0.08,0.69,0.67,0.62,0.68,0.55,0.08
2014,0.24,0.6,0.7,0.37,0.21,0.25,0.31,0.14,0.27,0.2,0.31,0.16,0.55,0.75,0.87,0.23,0.25,0.27
2015,0.53,0.73,0.64,0.71,0.42,0.47,0.59,0.34,0.34,0.55,0.65,0.2,0.61,0.78,0.68,0.62,0.56,0.27
2016,0.29,0.39,0.48,0.46,0.39,0.37,0.53,0.52,0.31,0.3,0.36,0.34,0.55,0.86,0.7,0.64,0.41,0.21
2017,0.71,0.88,0.95,0.8,0.7,0.49,0.71,0.78,0.64,0.66,0.72,0.69,0.91,0.95,0.95,0.68,0.6,0.32
2018,0.38,0.46,0.59,0.43,0.28,0.43,0.52,0.37,0.15,0.38,0.36,0.14,0.41,0.43,0.55,0.59,0.55,0.14
2019,0.46,0.59,0.72,0.5,0.58,0.56,0.54,0.57,0.73,0.44,0.45,0.73,0.65,0.73,0.64,0.6,0.54,0.47
2020,0.56,0.7,0.72,0.76,0.37,0.47,0.65,0.41,0.53,0.55,0.63,0.23,0.62,0.78,0.71,0.64,0.56,0.68
2021,0.8,0.8,0.78,0.92,0.62,0.41,0.8,0.35,0.48,0.71,0.87,0.32,0.86,0.78,0.82,0.73,0.71,0.37
