year,Switzerland,Austria,Portugal,Luxembourg,Estonia,France,Serbia,Romania,Belarus,Norway,Denmark,Belgium,Ireland,Malta,Finland,Türkiye,Lithuania,Slovenia,Italy,San Marino,Latvia,Liechtenstein,Poland,Bulgaria,U.K. of Great Britain and Northern Ireland,Greece,Monaco,Ukraine,Germany,Montenegro,Croatia,Bosnia & Herzegovina,Andorra,The former Yugoslav Republic of Macedonia,Iceland,"Moldova, Republic of",Faroe Islands,Hungary,Czech Republic,Spain,Cyprus,Sweden,Netherlands,Slovakia,Albania,Italy ordinary regions
2000,1.46922184899449,3.50401242945823,31.9623580394975,2.54260659217834,2.69906336801094,8.13138795220863,22.2033663160482,13.2750034005675,3.14962610965822,1.21541893236236,3.75528018654517,2.29604880582719,1.84404962139745,20.037633895874,2.34335965229013,35.7935702776817,2.87470276673635,6.75546348690987,19.9513316508028,20.2494697570801,2.83188031367119,1.0822170227766,3.4278232892476,24.7315691928474,2.657408550991,31.6619637542301,9.75832176208496,9.51763461159891,2.73889207683761,11.0344823201497,16.3841571946746,15.5235298262702,7.13188028335571,28.9689956665039,2.02353364727911,13.4725392249323,1.46616563796997,16.8690351689799,4.85712093527212,33.814924820422,37.9465892314911,2.19834004359139,2.15641728166032,6.98403659619783,19.7902967071533,18.4856133671105
2001,1.46058433204889,3.35586871398739,28.0131592270512,4.19933547973633,4.06887621628611,8.17709551528887,9.65449421269119,9.73272939972137,4.78748388776758,0.970843192654105,3.18256744011393,3.72490190702771,2.76861964310369,21.199426651001,3.31912829294248,34.7724967771976,2.52305089871089,6.19168519377708,19.4336870425441,19.2645740509033,3.48166495127394,0.97542816400528,2.87257654524507,18.1672756379964,3.19687661622758,28.2112388301779,12.6522130966187,13.9532875436863,4.38771711472807,7.10784846544266,11.1195122755847,6.35269510746002,6.37084722518921,19.1426861974928,0.598106410454268,16.0848802443474,0.874882531166077,8.268123751276,3.52239777344578,29.1840201968623,35.9730433225632,2.34184825681565,3.01852701788079,4.55641821434623,15.1695687007904,18.0022315969318
2002,0.974622844904661,2.26000198017966,26.5101890691975,5.21603336334229,11.1098122387602,6.62983015245734,8.14369239928616,7.65289440587775,14.3664141018481,2.03627871184811,6.29138341714751,3.68373794782729,2.93328367202513,22.1697163581848,4.38211230690046,28.1940355069849,12.4282237561544,2.39070733487606,9.2769312949235,6.2158842086792,13.0475002440396,0.559767626225948,8.27310453823113,8.25569011666337,3.48514396605882,18.1316896378994,6.71807765960693,14.2832272617973,4.14598761562643,2.78825224936008,4.57815310098592,3.1943237013287,2.18939566612244,11.2872942606608,0.857575741614546,11.9961490784922,1.00276125669479,9.51366884252998,4.29342337486879,25.3048451004602,36.6395416259766,5.06600165059153,3.25961412469002,5.63933968920457,7.01614852190018,7.19241270199418
2003,5.82668026462197,6.6099519612599,30.8782109510179,10.8049249649048,5.36949995107818,15.3930461917112,15.9088409569613,12.384308627207,6.81025138556825,2.1942810281651,7.57766293129831,9.92220058138408,4.1991078284479,16.9664812088013,4.08859165250478,34.7583045345015,6.74739126841227,8.10137932300568,21.053319414079,20.1573543548584,4.79090717770406,3.96401554346085,9.97419203915968,16.9661770256198,6.1459222666393,26.3511173239461,17.42209815979,10.5503836632584,12.2150449479859,11.689857562383,15.8036047000329,13.4199413511488,5.37432861328125,20.1785480075412,0.682392407658945,13.0041577277645,0.86561084985733,18.3481476869476,12.775807659581,31.4012208679848,39.0295503139496,4.28495828842889,8.7927383200763,11.5725377333792,20.3488400745392,20.4501117485762
2004,2.06830114498734,3.4765037813801,30.066090785417,5.44337062835693,2.08213683701398,10.4608249172295,11.172762776636,7.41820172128612,5.75290232910021,1.71255305606209,4.35866150766049,4.51003272571261,1.8764936258716,19.5656981468201,1.68506154624246,34.7437083609316,3.32230760733287,4.25138683617115,18.4903450171417,15.1874046325684,3.00709090959157,0.993514180183411,7.51263280520943,10.3942326757373,2.86652364778474,26.5146359072791,16.3079319000244,7.25047156025132,5.91456579002841,9.48090632756551,11.3746627557625,9.41847367286682,6.48680686950684,18.0640756607056,2.23158480684243,10.9559638038758,1.38773350715637,13.0220179906052,9.25264837606898,28.5142412769182,38.683473944664,2.39170308152898,3.7455243198839,7.23072026026876,14.560503616333,17.634184442088
2005,1.47020875550807,1.92662068579826,36.1567230416624,6.51341171264648,6.22218968575461,11.2230109863824,5.35433098465014,4.83893338294878,8.95096722833333,1.57018114820012,5.36204159934566,4.22727644254291,2.44214201973331,23.1048860549927,3.54580423131271,31.9991313557482,6.46637095928192,2.05373186469078,14.4985310485721,10.2809209823608,6.27908291879869,0.713254421949387,10.1358040600422,6.96893667748996,3.88930317737356,23.1260296680309,10.3117923736572,14.5695802849971,4.78055321948282,4.0864791572094,5.0161159478345,3.67259700828128,4.12448930740356,13.6676156891717,0.837121356627153,11.5055946688498,0.822394418716431,5.15652360139268,4.05005882521096,32.4656369920089,36.2317135334015,3.84906532074101,3.61023388986718,3.97926720694492,11.6143250656128,12.7344583354145
2006,2.76890523433685,3.89040308642241,30.4879959669689,7.49521970748901,11.4217080066079,9.96133161556755,9.8202544139449,8.56670850352065,6.35496813759307,2.25113579043692,6.55711942123917,6.14876219961378,3.16738308052863,21.4571003913879,7.89234117704743,34.3970500137815,7.85475542068481,5.77762730717659,15.7031378276901,11.7586297988892,9.59417848397564,1.95512330532074,10.090448234932,13.0622468675886,5.1956663906685,25.7250969277488,10.7382564544678,13.8714567711032,8.19528083686171,5.50830248991648,8.6185727397215,5.18927164872487,4.41291093826294,16.7839782502916,0.917378337158551,13.5189097773644,0.373104903101921,11.3183891639281,7.45797344273741,30.3930354797952,34.5011225938797,6.04893978250425,7.04820518297692,7.53677334283528,11.4034775400162,14.288921880424
2007,1.34992507509887,4.07773250963059,27.9596734846998,3.19842963218689,3.70933970756698,7.86174612243012,16.5328280272757,14.2747802739818,6.3948743554811,1.17880000791357,2.70972858060081,2.92152391918122,2.19186628980021,21.0685458183289,1.6014275395105,37.9448412784508,3.32906203627586,5.71828854084015,21.84885565251,19.8614768981934,3.64710629933717,0.678349703550339,4.76113994782405,19.7158809389387,3.4852022118451,31.281621336937,14.876690864563,16.9907604456959,3.12058551212837,12.7995226780574,13.1214841916723,12.6748206138611,7.86226224899292,25.4952146954007,1.87219115397292,20.685013586475,1.10029720067978,17.1806688201561,5.6803564418037,28.8674837909291,37.6881256103516,2.17086396965721,2.74679298596839,8.16457274336564,22.4796932411194,21.1649343283474
2008,1.48931675888598,2.41851727783314,28.6589109657595,3.998752784729,2.05253835414585,8.05157137670076,15.1668378501941,13.1926155367943,5.88961807111414,1.72510002624874,4.52280652298118,3.69106600208888,1.33809740312638,20.6604681015015,1.96525223659297,37.1638822814903,4.63920887788137,4.6025405228138,18.7152472150586,18.8835868835449,3.72127832797979,0.605242200195789,6.68963987885719,19.1871012254637,2.14971203260041,30.2298668313909,12.1990909576416,14.8123290063568,5.19785126760088,10.4207635323207,12.6720755771526,10.4322504414452,4.07985973358154,23.3600001441108,2.32863237813506,15.2428081727797,1.03390086889267,13.5320078281874,5.61405524892627,29.2721051014612,35.7791682481766,2.81452461854453,2.84216416535312,5.71249354513068,18.3611347579956,17.720069036372
2009,2.15399251803756,2.35760012323871,32.7345211297874,6.28898458480835,2.80555896487152,12.7171590148885,12.577588184624,12.687190803763,5.34287404696852,1.57577051520665,5.73889975952652,7.99515164087689,1.39781792740668,18.2635130882263,2.96038427766611,30.194254693573,4.77350651105245,5.32662416398525,17.0436935655688,15.7782773971558,4.13568056813928,0.941815704107285,6.51818103921724,13.6301956687655,3.83540790973986,23.4346008433236,15.9005851745605,18.1260070366006,6.89909986109569,8.49907239278158,13.8579560668723,10.6447786331177,6.3188796043396,13.7779818110996,1.56674493982667,21.0326876178865,1.24293053150177,16.0789049019974,5.93058160341011,33.7195597292385,34.7930948734283,2.78834546275662,6.471378319884,7.86731856747677,14.7869618606567,15.9186303237453
