STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,PRK,Democratic People’s Republic of Korea,A,Annual,FOREST,Forest,KM2,Square kilometres,2021,,60088.6,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,PRK,Democratic People’s Republic of Korea,A,Annual,FOREST,Forest,KM2,Square kilometres,2022,,59876.3,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,AZE,Azerbaijan,A,Annual,FOREST,Forest,KM2,Square kilometres,2021,,11432.97,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,AZE,Azerbaijan,A,Annual,FOREST,Forest,KM2,Square kilometres,2022,,11548.26,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,SMR,San Marino,A,Annual,LAND,Land area,KM2,Square kilometres,2021,,60,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,SMR,San Marino,A,Annual,LAND,Land area,KM2,Square kilometres,2022,,60,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,BMU,Bermuda,A,Annual,FOREST,Forest,KM2,Square kilometres,2021,,10,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,BMU,Bermuda,A,Annual,FOREST,Forest,KM2,Square kilometres,2022,,10,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,TKM,Turkmenistan,A,Annual,FOREST,Forest,KM2,Square kilometres,2021,,41270,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,TKM,Turkmenistan,A,Annual,FOREST,Forest,KM2,Square kilometres,2022,,41270,,E,Estimated value,0,Units,1,One
