REGION,REGION_EN,CODE,UNIT,LANDCOVER,FORESTCOVER,FLAMMABLE SURFACE,FLI MEAN
Abruzzo,Abruzzo,ITF1,TREATED,10833.0,4199.0,1040558.76,184.5256756758152
Puglia,Apulia,ITF4,TREATED,19541.0,1816.0,1841711.76,226.78924371985664
Basilicata,Basilicata,ITF5,TREATED,10073.0,3076.0,980346.6,357.7103601188724
Calabria,Calabria,ITF6,TREATED,15222.0,6384.0,1454441.4,523.2995827437137
Campania,Campania,ITF3,TREATED,13670.0,4582.0,1270458.36,493.0172890661782
Emilia-Romagna,Emilia-Romagna,ITH5,TREATED,22453.0,5831.0,2047302.72,87.51362770887714
Friuli-Venezia Giulia,Friuli-Venezia Giulia,ITH4,CONTROL,7862.0,3417.0,677970.36,107.33684145735116
Lazio,Lazio,ITI4,TREATED,17232.0,6025.0,1550991.96,336.6714440620321
Liguria,Liguria,ITC3,TREATED,5416.0,3943.0,508655.88,655.5750219101549
Lombardia,Lombardia,ITC4,TREATED,23864.0,6735.0,1782669.6,97.734616171393
Marche,Marche,ITI3,TREATED,9401.0,3480.0,922944.6,138.06648379641257
Molise,Molise,ITF2,TREATED,4461.0,1678.0,437634.36,133.59857040917373
Piemonte,Piemonte,ITC1,TREATED,25387.0,9072.0,2130686.2800000003,146.85404907962635
Sardegna,Sardegna,ITG2,CONTROL,24100.0,7649.0,2302786.44,1618.6192772843183
Sicilia,Sicily,ITG1,CONTROL,25833.0,2606.0,2431782.0,465.538403155474
Toscana,Toscana,ITI1,TREATED,22988.0,11034.0,2177560.08,525.8009681701091
Provincia Autonoma di Trento,Trentino-Alto Adige,ITH2,EXCLUDE,6207.0,3767.0,1081185.84,133.89231490587613
Umbria,Umbria,ITI2,TREATED,8464.0,3918.0,802881.72,445.86141886375833
Valle d'Aosta,Valle d'Aosta,ITC2,EXCLUDE,3261.0,951.0,211151.88,170.16245795969684
Veneto,Veneto,ITH3,TREATED,18407.0,4448.0,1551414.6,87.05954955511686
